,Date,Ticker,average_turnover_1Y,average_turnover_3Y,beta_1Y,beta_3Y,volatility_1Y,volatility_3Y
73,1999-12-31,NOC US Equity,18534819.83095238,26163682.46610582,0.0924292348886682,0.0313102106572288,0.3330352260294268,0.3299844720012742
74,1999-12-31,NSC US Equity,20673803.153809525,20807285.146236774,0.0407839592767186,0.0470926725819772,0.3368209738260909,0.3108365114662458
75,1999-12-31,NTRS US Equity,36999040.39349207,30100261.29793651,0.1011784265748946,0.1034922351930348,0.3202699517147373,0.3429980567080237
76,1999-12-31,NUE US Equity,18835844.563650794,16948852.94345238,0.0547869081867325,0.0633156820585654,0.3785036230229665,0.3345397844675786
77,1999-12-31,OKE US Equity,1859982.547301588,1920322.490846561,0.0862324898123904,0.0311566090454977,0.271829696936512,0.2816371021880379
78,1999-12-31,OMC US Equity,45307387.30873016,26542541.66939153,0.0905452069100826,0.0881194189992776,0.3601144121554071,0.3363658898043185
79,1999-12-31,ORLY US Equity,6352479.656349206,3660497.817195767,-0.0457341003667453,0.0128943859525764,0.4387424739707521,0.4221642538629519
80,1999-12-31,OXY US Equity,19418425.868809525,23734403.00186508,0.0363339515680749,0.0378317196027847,0.3024427742600133,0.2754315802084138
81,1999-12-31,PEAK US Equity,2745119.1963492064,2099437.692248677,-0.011664340900845,0.0247235395506444,0.2252456042826625,0.1951041505171711
82,1999-12-31,PEG US Equity,19303654.46666667,19101979.01294285,0.0395458249085107,0.0049453334672923,0.1823555578121792,0.1900873221966203
83,1999-12-31,PFG US Equity,48117506.833333336,39876626.40169312,-0.0035767490311119,-0.0001053470373077,0.1440131744514174,0.1730286091862766
84,1999-12-31,PH US Equity,15148358.068035714,14653034.633978177,0.0339699441580512,0.0424758622762676,0.3625760148251026,0.3389575129159538
85,1999-12-31,PLD US Equity,7562487.623015873,5539665.426481482,-0.00073394836631,-0.0043210283428673,0.1806026610803064,0.1602110552661958
86,1999-12-31,PNC US Equity,39132650.99019842,34489479.917929895,0.0989955877082623,0.085917656887334,0.2944860488197089,0.3025098780897148
87,1999-12-31,PNW US Equity,12663999.45436508,10797805.086574074,0.0433365713678691,-0.0035828124209811,0.2136530829456873,0.1902828312035332
88,1999-12-31,PPG US Equity,24297614.417460315,21259715.922222223,0.025628267353802,0.0674123354384391,0.3103388707895872,0.2921505842913977
89,1999-12-31,PPL US Equity,11041953.450873015,9445958.343941798,0.0528822859830563,0.024654625883812,0.220511601217752,0.205053593468914
90,1999-12-31,PSA US Equity,4359590.787301587,4072345.5496031744,0.0572037479771651,0.0385579247734865,0.2085234516603285,0.2230397060880449
91,1999-12-31,RF US Equity,16680269.450293254,14623203.842811774,0.1256480465001211,0.0739119943607335,0.3056679607102346,0.293086424204278
92,1999-12-31,RL US Equity,7418897.670634921,4810734.090939153,-0.0198688731940516,0.0025132249054979,0.4226263756918297,0.4654183044910719
93,1999-12-31,RSG US Equity,12525434.568928571,11813735.785873016,0.0584346668829678,-0.0064906773078359,0.281944721738723,0.3440193440807395
94,1999-12-31,RTX US Equity,61279364.52936508,46175284.81160318,0.1083504026052516,0.0948557626729969,0.3303742069810613,0.2978992758932096
95,1999-12-31,SHW US Equity,15977270.716666669,14002537.953015871,0.0573729466364609,0.0757000571815433,0.3459866498680407,0.3241827538028379
96,1999-12-31,SJM US Equity,450324.01338888885,475668.83487301593,0.0172513782996148,0.0209631760929827,0.2060895611121631,0.2730004222047474
97,1999-12-31,SNA US Equity,5907470.081746032,6548471.276058202,0.033903407352455,0.0272347676531645,0.2871635793458327,0.2732105658411339
98,1999-12-31,SO US Equity,19591627.693174604,18671643.55047209,0.0291779620435837,-0.0104785115784052,0.2408147919306194,0.2159071947731064
99,1999-12-31,SPG US Equity,6669869.107492064,6483530.652174604,0.0081724184923183,0.0133529546972901,0.2363722528175612,0.2227666151904439
100,1999-12-31,SPGI US Equity,28578097.260317463,22537374.68888889,0.0627636200828623,0.0514721555597573,0.3180735019816692,0.271571527275125
101,1999-12-31,SRE US Equity,25659688.10714286,19701682.81693121,0.0307033668595552,0.0294778212701077,0.380408968965686,0.3391570381006881
102,1999-12-31,STZ US Equity,5210111.771428572,4974751.217989418,0.044538948431326,0.0383978813957037,0.3349209881060562,0.3543825032246835
103,1999-12-31,SWK US Equity,7475183.448015872,8335651.342887565,0.0864247847063496,0.0471107192053689,0.3413181316132239,0.3372996903337342
104,1999-12-31,SYY US Equity,19590677.92793651,16174938.872486774,0.0153633509938467,0.0347860060559556,0.284330946861561,0.2649362702207743
105,1999-12-31,TFC US Equity,13423127.22531746,12029680.470621694,0.1215535433671682,0.0969567843013542,0.3164554310147142,0.2872778901321206
106,1999-12-31,TMO US Equity,7487240.228174604,13432273.726777775,0.062562314587783,0.0945110882438055,0.3254743392667308,0.3754004297244061
107,1999-12-31,TRV US Equity,24850701.48253968,23231008.21903969,0.0850438973124845,0.0630209285011091,0.3781577870663565,0.3105601407248237
108,1999-12-31,TSN US Equity,5486767.166111112,7166333.289669312,-0.0046278210219748,0.043874452117733,0.3491617498515696,0.3802577881332835
109,1999-12-31,TT US Equity,22733540.972063493,16462134.764891531,0.0158224262453021,0.0600469383887281,0.3707251311878103,0.353766371787132
110,1999-12-31,TXT US Equity,32279215.97833333,27732803.350079365,0.0460966297059455,0.0669937561972257,0.2699184293533166,0.2832364261134515
111,1999-12-31,UNP US Equity,44436948.26666667,44650297.13425926,0.0682161672430389,0.0152157765307457,0.3258432325630625,0.2888912531938924
112,1999-12-31,VFC US Equity,12876027.858253969,10834595.811851852,0.0017257611266527,0.0273254722749225,0.3664505690594918,0.3020043336359063
113,1999-12-31,VMC US Equity,9548768.878571428,6309468.998809524,0.0209867659039578,0.0170378824242646,0.3035573474042374,0.2556423080977436
114,1999-12-31,WEC US Equity,7548119.829047618,7672427.16079365,0.0383795830857528,0.019202417972772,0.2102870204946977,0.1963724976248158
115,1999-12-31,WELL US Equity,1529778.7698412698,1677893.578042328,-0.0306204365179929,0.0332835534414408,0.2574943544469422,0.2350773941654876
116,1999-12-31,XEL US Equity,9343942.43829365,8879200.796360318,0.053632113170124,0.0210494613279312,0.2114245327260986,0.1901499671365402
117,1999-12-31,XRAY US Equity,7118080.067142857,6953163.505158731,0.0799148369412643,0.0376229393685473,0.3361349979501601,0.32790479674316
118,1999-12-31,YUM US Equity,34279641.619682536,24874278.1484127,0.0168586564368674,-0.0143727864022558,0.3479886365622403,0.4015324345022739
119,1999-12-31,ZION US Equity,26941446.77634921,14987566.332962964,0.0717453016788873,0.0491372634026675,0.3551839155922552,0.3724577977499623
120,2000-12-01,A US Equity,46899231.31916667,44230002.86055582,0.0074659672538117,0.0033277236367621,0.2975263172687062,0.4162999374941479
121,2000-12-01,ABT US Equity,69177639.22650793,57170090.51755291,-0.0493508453346706,0.0241116565184383,0.4031366860946393,0.3414003332392342
122,2000-12-01,ADM US Equity,16515255.636607936,18891475.03907725,-0.0165345427985155,0.0246055840805901,0.3760846477056635,0.3453188233351023
123,2000-12-01,ADP US Equity,67736200.4445635,47366093.68994709,0.02164900151359,0.0868458654055163,0.3814139928066907,0.3249269466942679
124,2000-12-01,AEE US Equity,25874683.14666667,23322118.39578042,2.593924798614037e-05,-0.0044738136999931,0.156835265277525,0.2109207041089764
125,2000-12-01,AEP US Equity,24874769.64055556,20688069.79089947,0.0010757720622944,0.0050669208047087,0.3135053166889964,0.2413763981333611
126,2000-12-01,AFL US Equity,42985053.16222223,30626852.148465607,0.014208404494177,0.0606896075795111,0.4189895163273922,0.4181910886455153
127,2000-12-01,APD US Equity,24067687.67960317,23661283.738095243,-0.0093007027703972,0.0278556143378725,0.4625706052176701,0.4061488092633574
128,2000-12-01,AVB US Equity,7395441.76098016,5480543.577014551,0.0182468630596823,0.0145417690321628,0.167396958239039,0.1700087110548779
129,2000-12-01,AVY US Equity,27972849.71420635,20158132.273174603,-0.0073158725121452,0.0222433266995417,0.4370772364555252,0.3681183694025117
130,2000-12-01,AZO US Equity,12946266.692460315,16535830.74179894,-0.0054422546267401,0.0445484028274397,0.4494638398591097,0.4016144710748378
131,2000-12-01,BALL US Equity,4743535.571428572,6107530.226878306,0.0291514198188784,0.0324278096748,0.3747604102295092,0.3746296295830266
132,2000-12-01,BAX US Equity,51078444.29436508,35875693.72452381,0.0154802323780549,0.0441163677426148,0.3855418453914548,0.3359047288200779
133,2000-12-01,BLK US Equity,5835732.968253968,4674816.087632275,-0.0103273122468649,-0.0006508156415648,0.1955964250971429,0.2259353191764257
134,2000-12-01,BWA US Equity,4383541.029841269,4344293.241587302,0.0702909289572287,0.0666777107307945,0.3529326738973403,0.3549530656867501
135,2000-12-01,BXP US Equity,13538516.095238095,12153629.887433864,0.0045063173833806,0.0126681613035313,0.1681905047566241,0.1677592425961217
136,2000-12-01,CAG US Equity,22716392.66079365,25442155.21814815,-0.0236405055127318,0.0131547411109636,0.3613960596346198,0.3354774800684434
137,2000-12-01,CAH US Equity,55107752.07154762,48078402.80869048,0.0378581404365539,0.0349454760187674,0.4128721341895925,0.4026938989017466
138,2000-12-01,CHRW US Equity,16166322.513623016,11800423.892043652,0.0192144072660351,0.0124554990018124,0.286373953759566,0.3604557300959252
139,2000-12-01,CI US Equity,74821684.01678571,59251861.21690476,-0.034338888744949,0.0169821158799945,0.3763348462500089,0.3377724470546974
140,2000-12-01,CMA US Equity,30063825.78825397,26227102.51102513,0.0487392614719714,0.0697496376367886,0.4053422772558635,0.3436025228074377
141,2000-12-01,CMS US Equity,20293434.24984127,16892795.52765873,-0.0185535679123167,-0.0012647934279069,0.4031596801550529,0.288947633162737
142,2000-12-01,CNP US Equity,22972296.75126984,16435251.6015873,-0.0294536761844801,-0.0065501454159243,0.3628607618078472,0.2853572682571733
143,2000-12-01,COP US Equity,36031826.98,27259657.970820103,0.0025308700222694,0.0347054581083485,0.3158792762475863,0.3032192206481902
144,2000-12-01,CPB US Equity,21681950.912738096,30868096.729272485,-0.016633429850972,0.012015220684737,0.4673193262431958,0.3694768357856995
145,2000-12-01,CSX US Equity,17651194.422857143,21403214.69809524,0.0217859470496091,0.0333552816591908,0.4435993371803754,0.3663632285590562
146,2000-12-01,CTRA US Equity,3353905.139047619,2003186.021904762,0.012109788847943,0.0279409092938877,0.4550015970778998,0.4295312184506941
147,2000-12-01,DHR US Equity,13684151.216825396,11403119.38915344,0.0778535161877772,0.0952624607480583,0.3744428887616985,0.3630980791506646
148,2000-12-01,DOV US Equity,18258976.904722225,14113535.35526455,0.1127564600650859,0.1028409399277694,0.3604344968725892,0.3418437259306573
