,Date,Ticker,Weight
0,1999-12-31,ABT US Equity,0.00058061912271645
1,1999-12-31,ADM US Equity,0.0008409984150096402
2,1999-12-31,ADP US Equity,0.00033604645333178173
3,1999-12-31,AEE US Equity,0.0463684860972909
4,1999-12-31,AEP US Equity,0.004410168711379806
5,1999-12-31,AON US Equity,0.000470979300726528
6,1999-12-31,APD US Equity,0.0014159152915842322
7,1999-12-31,APH US Equity,0.0463684860972909
8,1999-12-31,AVB US Equity,0.005601828725373187
9,1999-12-31,AVY US Equity,0.0013195807933359045
10,1999-12-31,BALL US Equity,0.0010273632804277608
11,1999-12-31,BAX US Equity,0.000642390308733572
12,1999-12-31,BBWI US Equity,0.0005922570192837563
13,1999-12-31,BLK US Equity,0.0067052188851262256
14,1999-12-31,BWA US Equity,0.001716268345860387
15,1999-12-31,BXP US Equity,0.006659295072420128
16,1999-12-31,CAG US Equity,0.001150401084940661
17,1999-12-31,CAH US Equity,0.006335823903625165
18,1999-12-31,CHRW US Equity,0.029946385052645748
19,1999-12-31,CI US Equity,0.0008159550390961907
20,1999-12-31,CLX US Equity,0.0007322028435917165
21,1999-12-31,CMA US Equity,0.0005920989124317905
22,1999-12-31,CMI US Equity,0.0015235429553148725
23,1999-12-31,CMS US Equity,0.00278106406660749
24,1999-12-31,CNP US Equity,0.0013218467996174857
25,1999-12-31,COP US Equity,0.0008441574429953768
26,1999-12-31,CPB US Equity,0.0012085967817394602
27,1999-12-31,CSX US Equity,0.02285344070748573
28,1999-12-31,CTRA US Equity,0.002610828067847501
29,1999-12-31,DE US Equity,0.0018741639702771447
30,1999-12-31,DHI US Equity,0.0275375275477349
31,1999-12-31,DHR US Equity,0.00046581500597359576
32,1999-12-31,DOV US Equity,0.0006743497837077802
33,1999-12-31,DRI US Equity,0.0018518875642027596
34,1999-12-31,DTE US Equity,0.0018924032860680525
35,1999-12-31,DUK US Equity,0.0032912024977122135
36,1999-12-31,DVN US Equity,0.0463684860972909
37,1999-12-31,ECL US Equity,0.0008160870768690895
38,1999-12-31,ED US Equity,0.002289559382169195
39,1999-12-31,EIX US Equity,0.004199657438689964
40,1999-12-31,EL US Equity,0.0463684860972909
41,1999-12-31,EMN US Equity,0.0013166806216956257
42,1999-12-31,EMR US Equity,0.0006360700227902944
43,1999-12-31,EQR US Equity,0.005514431883852973
44,1999-12-31,ES US Equity,0.0018201404827313454
45,1999-12-31,ETN US Equity,0.0006872096772016224
46,1999-12-31,ETR US Equity,0.024700453431642268
47,1999-12-31,EW US Equity,0.0024521470341194607
48,1999-12-31,EXC US Equity,0.0017763960006352804
49,1999-12-31,FE US Equity,0.0463684860972909
50,1999-12-31,FIS US Equity,0.024930935961039295
51,1999-12-31,FMC US Equity,0.005303981486640515
52,1999-12-31,GD US Equity,0.0005293103576777311
53,1999-12-31,GIS US Equity,0.0011421394150027348
54,1999-12-31,GL US Equity,0.0006005610618562677
55,1999-12-31,GPC US Equity,0.0008405483472824467
56,1999-12-31,HES US Equity,0.0009254853030360432
57,1999-12-31,HRL US Equity,0.0010576872300123862
58,1999-12-31,HST US Equity,0.023043126471376518
59,1999-12-31,HSY US Equity,0.0018346552685265523
60,1999-12-31,IFF US Equity,0.0014630692500785544
61,1999-12-31,ITW US Equity,0.0007948077341886208
62,1999-12-31,J US Equity,0.01239390155268359
63,1999-12-31,K US Equity,0.0006141403137507297
64,1999-12-31,KIM US Equity,0.002219101300888071
65,1999-12-31,L US Equity,0.001063291365850139
66,1999-12-31,LIN US Equity,0.0013364373902204959
67,1999-12-31,MAR US Equity,0.0463684860972909
68,1999-12-31,MCO US Equity,0.019520184082811892
69,1999-12-31,MKC US Equity,0.0006336980003445893
70,1999-12-31,MTB US Equity,0.0463684860972909
71,1999-12-31,NEE US Equity,0.006046430490065996
72,1999-12-31,NI US Equity,0.002115121065334454
73,1999-12-31,NOC US Equity,0.00101328475552471
74,1999-12-31,NSC US Equity,0.001057356708496224
75,1999-12-31,NTRS US Equity,0.00045293130467753895
76,1999-12-31,NUE US Equity,0.0007867810360652577
77,1999-12-31,OKE US Equity,0.001034314921804989
78,1999-12-31,OMC US Equity,0.0005194683151840174
79,1999-12-31,ORLY US Equity,0.024022072038227607
80,1999-12-31,OXY US Equity,0.001249778894662513
81,1999-12-31,PEAK US Equity,0.023123177297672357
82,1999-12-31,PEG US Equity,0.005458529002192056
83,1999-12-31,PFG US Equity,0.0463684860972909
84,1999-12-31,PH US Equity,0.0012221782672281745
85,1999-12-31,PLD US Equity,0.0463684860972909
