,Portfolio_Returns
2000-01-14,0.0
2000-01-18,0.009652161393093342
2000-01-19,-0.0009777835404408829
2000-01-20,-0.006071957374003267
2000-01-21,-0.010455367218884916
2000-01-24,-0.012902266326541576
2000-01-25,-0.01610539508878811
2000-01-26,0.0062155047110184925
2000-01-27,0.007413974940197921
2000-01-28,-0.01991728256754182
2000-01-31,0.010631270477254977
2000-02-01,-0.0018278129981060649
2000-02-02,-0.0037192827834922324
2000-02-03,0.011789624259194918
2000-02-04,0.00041396965213324647
2000-02-07,-0.002480396504742633
2000-02-08,-0.004200661669351777
2000-02-09,0.017546757117902347
2000-02-10,-0.010415926349583153
2000-02-11,-0.007955060524342219
2000-02-14,0.007871322922770187
2000-02-15,0.017467497137999107
2000-02-16,0.008552220709711447
2000-02-17,-0.002498834361731194
2000-02-18,0.00030811481343439326
2000-02-22,0.006787844275805482
2000-02-23,0.010476265735171365
2000-02-24,-0.010081054523494141
2000-02-25,-0.007514902170589297
2000-02-28,0.010511531746950842
2000-02-29,-0.0005240813056737913
2000-03-01,-0.0013461117428796607
2000-03-02,-0.0003624638266699908
2000-03-03,0.006942525831952175
2000-03-06,-0.004336552682018136
2000-03-07,-0.008190121471637042
2000-03-08,0.0020656474241244564
2000-03-09,0.002393054389747048
2000-03-10,0.0008411054461860572
2000-03-13,0.0077036774253678745
2000-03-14,0.0010569746436063035
2000-03-15,0.03685835058095838
2000-03-16,0.01941206356349469
2000-03-17,-0.015475149770771583
2000-03-20,0.003965730704189368
2000-03-21,0.015530952624512817
2000-03-22,-6.15616102618957e-05
2000-03-23,0.0037103862715299777
2000-03-24,-0.0032260836145709642
2000-03-27,-0.009253379956577629
2000-03-28,-0.004584665962975667
2000-03-29,0.003200053271583312
2000-03-30,0.011385013277733638
2000-03-31,0.009072204973976396
2000-04-03,-0.0071668016576106625
2000-04-04,0.008965873916037757
2000-04-05,0.01073592172291302
2000-04-06,-0.004611205594619177
2000-04-07,-0.013801050132274863
2000-04-10,-0.0007647131486274441
2000-04-11,-0.0014720889668783457
2000-04-12,0.010425111082911968
2000-04-13,-0.010845017063746923
2000-04-14,-0.022210126158212107
2000-04-17,0.0038524811047183027
2000-04-18,0.0035314933884822122
2000-04-19,0.01349912679149632
2000-04-20,-0.015968185238194224
2000-04-24,0.003084176232892125
2000-04-25,0.016661329974435507
2000-04-26,-0.0008350843909956909
2000-04-27,0.006157738141933842
2000-04-28,0.010256779305506577
2000-05-01,0.006682536910636121
2000-05-02,-0.004786497401144892
2000-05-03,0.00443231614449545
2000-05-04,0.02831499732503157
2000-05-05,0.007397853368930659
2000-05-08,0.006982017414708995
2000-05-09,-0.006737160639917743
2000-05-10,-0.0022631136355863884
2000-05-11,0.01207117672707548
2000-05-12,0.010713648622874314
2000-05-15,0.006947534002008105
2000-05-16,0.001576795665328399
2000-05-17,-0.004332448824365795
2000-05-18,-0.005634747939935252
2000-05-19,-0.0007971936550006043
2000-05-22,-0.014905757033515283
2000-05-23,0.006338503315585555
2000-05-24,0.002041551265095596
2000-05-25,-0.023338957083512864
2000-05-26,0.009530637074719536
2000-05-30,0.00945350948593505
2000-05-31,-0.0029744637370445566
2000-06-01,0.01582836094279646
2000-06-02,0.004268324788896192
2000-06-05,0.0008048450402769373
2000-06-06,0.01125277908628791
2000-06-07,-0.006154701760480417
2000-06-08,0.0075705762517670585
2000-06-09,0.005100166767587451
2000-06-12,0.007827562697268454
2000-06-13,0.0032639394812468245
2000-06-14,-0.0001009143043591792
2000-06-15,0.004005491011972512
2000-06-16,0.003104695814333454
2000-06-19,-0.0017363624247257923
2000-06-20,-0.003825034504044597
2000-06-21,-0.010989880044460804
2000-06-22,0.0013374387122309585
2000-06-23,0.005643789615809126
2000-06-26,0.0027738434729984553
2000-06-27,0.004585470701525073
2000-06-28,0.0169955709291585
2000-06-29,-0.004113135571222944
2000-06-30,-0.008413070015624377
2000-07-03,0.006450656169004849
2000-07-05,0.0015270126895576498
2000-07-06,0.008882524338689987
2000-07-07,-0.001407276056612461
2000-07-10,0.006655890110093297
2000-07-11,0.013986265427629959
2000-07-12,-0.009524136202448984
2000-07-13,-0.0012096807646906293
2000-07-14,0.005849422333701048
2000-07-17,0.002561428323475282
2000-07-18,-0.00273472760569032
2000-07-19,-0.0053535955896446006
2000-07-20,-0.004534582972312663
2000-07-21,-0.00785236784755238
2000-07-24,-0.0011850032691883945
2000-07-25,-0.0032415764715269537
2000-07-26,-0.00661313215330497
2000-07-27,0.006304074421497436
2000-07-28,0.0024620075559872163
2000-07-31,0.010396505785910434
2000-08-01,0.009937228062854037
2000-08-02,0.010680314724419233
2000-08-03,-0.004343725575596631
2000-08-04,0.004139726711775286
2000-08-07,0.005613779200463461
2000-08-08,0.005924846451316042
2000-08-09,-0.0033711219864692556
2000-08-10,0.006664571874625088
2000-08-11,0.014101420034995683
2000-08-14,-0.002547215915033511
2000-08-15,-0.000723916966374361
2000-08-16,0.0022570691063778007
2000-08-17,-0.0015173994881889058
2000-08-18,0.0007575034955023673
2000-08-21,0.0027628346382635905
2000-08-22,0.004775394707753987
2000-08-23,0.002530862588281315
2000-08-24,0.0037357934328583454
2000-08-25,0.004586672516197503
2000-08-28,-0.00037557720278047463
2000-08-29,0.006081315918105594
2000-08-30,-0.0013404854082167206
2000-08-31,0.003748683458724476
2000-09-01,-0.006118395658065242
2000-09-05,-0.015514562543530893
2000-09-06,0.007262403597826483
2000-09-07,-0.004111846172548931
2000-09-08,0.0014336067751728166
2000-09-11,-0.0073881687434391614
2000-09-12,-5.1366879930286576e-05
2000-09-13,0.00756928455561577
2000-09-14,0.0027948106490214243
2000-09-15,-0.006934280640979107
2000-09-18,-0.00099681999795726
2000-09-19,-0.007380049306588844
2000-09-20,-0.00632846834900255
2000-09-21,0.007918863606094492
2000-09-22,0.011582008225797503
2000-09-25,-0.008543844159563633
2000-09-26,0.004745774082140035
2000-09-27,0.01294122367307072
2000-09-28,0.0008679244099667876
2000-09-29,-0.004753165909298738
2000-10-02,-0.0042763602753088355
2000-10-03,-0.0021268560754550995
2000-10-04,-0.005581057764861608
2000-10-05,-0.002068894443663188
2000-10-06,-0.00104434863653742
2000-10-09,0.008105026258493107
2000-10-10,0.0031778174956973615
2000-10-11,-0.0012429922358534072
2000-10-12,0.002192422053507989
2000-10-13,-0.0065844334683913515
2000-10-16,0.002650286024707244
2000-10-17,-0.011276087222661447
2000-10-18,0.0018340315453704524
2000-10-19,0.005334719776275894
2000-10-20,0.0004621825619928057
2000-10-23,0.000481006589593431
2000-10-24,0.004503367463892631
2000-10-25,-0.0059055946475862495
2000-10-26,-0.00021192806882070527
2000-10-27,0.012651815521890732
2000-10-30,0.014193604422313329
2000-10-31,0.006040058457916138
2000-11-01,0.005081074431967925
2000-11-02,0.005633568596840036
2000-11-03,-0.004320626022286011
2000-11-06,0.0004525971929604793
2000-11-07,0.0045346699583427115
2000-11-08,-0.0011564206544771153
2000-11-09,-0.0012970361144137123
2000-11-10,-0.006437236919863514
2000-11-13,-0.010260575228309789
2000-11-14,0.001878316150042365
2000-11-15,0.008592035098560515
2000-11-16,-0.0009181679215622369
2000-11-17,-0.005641084140487243
2000-11-20,-0.0001532262453745402
2000-11-21,0.018794020406258896
2000-11-22,0.0034965291842599987
2000-11-24,-0.0007778061228218561
2000-11-27,0.012075009995286773
2000-11-28,-0.0016001268548688906
2000-11-29,0.0026861683757467454
2000-11-30,0.00025855449692517747
2000-12-01,-0.0025311315274076413
2000-12-04,0.010125634599883311
2000-12-05,-9.536242011641415e-05
2000-12-06,0.000504597988022909
2000-12-07,0.01055518944174395
2000-12-08,0.007334549019732959
2000-12-11,0.0028665798213878928
2000-12-12,-0.0057872825171410725
2000-12-13,-0.011667998715046028
2000-12-14,-0.0028092822605649643
2000-12-15,0.007566940599957881
2000-12-18,0.010207890148921832
2000-12-19,-0.0023083584310502354
2000-12-20,0.0046182685687677074
2000-12-21,0.00348630343006325
2000-12-22,0.020245265466261993
2000-12-26,0.011412090844705706
2000-12-27,0.004883360408233762
2000-12-28,0.007929011707639703
2000-12-29,-0.018674581910812605
2001-01-02,-0.004255349342780185
2001-01-03,-0.006301773964711413
2001-01-04,-0.021335732303364115
2001-01-05,-0.00923029301072726
2001-01-08,0.00031261816991943564
2001-01-09,-0.006356491314722498
2001-01-10,-0.005080796223249884
2001-01-11,-0.0037979289302470915
2001-01-12,0.002603310306509802
2001-01-16,-0.0018104206401053592
2001-01-17,-0.007155615032286537
2001-01-18,-0.0003984909978496925
2001-01-19,0.0052854672766424185
2001-01-22,0.008738588628490805
2001-01-23,0.0013249566386388497
2001-01-24,-0.0010246380428281527
2001-01-25,-0.0030826658222824093
2001-01-26,0.00542683779081736
2001-01-29,-0.003997408444255769
2001-01-30,-0.004881328131120298
2001-01-31,-0.004570674325456049
2001-02-01,0.002069353739442043
2001-02-02,0.002178931962100464
2001-02-05,0.0014626498181308663
2001-02-06,0.002641024495052596
2001-02-07,-0.00105897990842004
2001-02-08,0.003715858739149213
