"Date","CLI","CM_1M","CM_3M","CM_6M","CM_1Y","CM_2Y","CM_3Y","CM_5Y","CM_7Y","CM_10Y","CM_20Y","CM_30Y","DJ_ret","Volume_DJ_chg","RF_rate","AA","AAA","BBB","A","GDP_chg","High_Qua_2Y","High_Qua_5Y","High_Qua_10Y","High_Qua_30Y","Ind_Prod_chg","Perso_Cons_Exp_chg","CPI_chg","SaleTrade_chg","Cons_Sentiment","Unempl_Rate","SP500_ret","Volume_SP500_chg","PPIACO_chg","Rend_1M","Rend_3M","Rend_6M","Rend_1Y","Rend_2Y","Rend_3Y","Rend_5Y","Rend_7Y","Rend_10Y","Rend_20Y","Rend_30Y","StressIndicator_SL","Spread_10Y2Y","VIX","beta_0_realized","beta_1_realized","beta_2_realized","lambda_realized"
1996-12-01,99.87895,3.67,5.08,5.24,5.4,5.61,5.72,5.85,5.97,6.08,6.46,6.36,0.0892417885104155,0.00832572298978174,5.29,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0157860729654693,6.1,6.57,6.91,7.4,0.00622934659486218,0.00512034683809248,0.00252047889098939,0.00554517569714341,96.9,5.4,-0.0285715648994584,0.450943764347418,0.00702028081123252,2.21,5.186,5.186,2.254,5.885,7.088,6.213,2.698,6.429,1.178,6.644,-0.148075,0.52047619047619,19.2609523809524,6.41513755250307,-1.31854566082333,-0.016717386897917,0.421945088329069
1997-01-01,99.984,3.67,5.19,5.35,5.63,5.97,6.13,6.3,6.45,6.54,6.85,6.75,0.00398094268305704,0.0723709387687113,5.25,6.96045454545455,6.84954545454545,7.38954545454545,7.09590909090909,0.0124560354034029,6.31,6.82,7.17,7.62,0.00181846145495013,0.00604246458186153,0.00188560653676939,0.00540032988215655,97.4,5.3,0.0670037222640745,0.248074546245222,0.00464756003098366,2.21,5.14,5.152,2.254,5.925,6.66,6.25,2.698,6.503,1.178,6.786,-0.30826,0.570952380952381,19.4733333333333,6.67367733447535,-1.63747196040157,-0.115227608125874,0.797010619527928
1997-02-01,100.113,3.67,5.12,5.28,5.54,5.89,6.03,6.21,6.34,6.47,6.81,6.74,0.0389167685274674,0.304990753519027,5.19,6.82,6.73105263157895,7.23578947368421,6.94684210526316,0.0124560354034029,6.19,6.67,7.01,7.49,0.0117501657769326,0.00423204154423318,0.00188205771643646,0.00946281828918183,99.7,5.2,0.00956507896089165,-0.31164023225907,-0.0092521202775635,2.21,5.225,5.235,2.254,6.094,6.221,6.391,2.698,6.556,1.178,6.804,-0.342725,0.521052631578947,20.1394736842105,6.82070605742005,-1.80141321402193,0.0366888417131354,0.652082396417305
1997-03-01,100.2522,3.67,5.24,5.39,5.68,6.11,6.25,6.41,6.53,6.58,6.94,6.83,0.0251499682187271,-0.213578411002135,5.39,7.1125,7.061,7.5095,7.2365,0.0124560354034029,6.48,6.98,7.28,7.73,0.0064010527309033,0.00371733529628271,0.000626174076393315,0.00344614902636509,100,5.2,-0.0477687110577361,0.249277360400682,-0.00933852140077818,2.21,5.317,5.328,2.254,6.419,5.97,6.759,2.698,6.907,1.178,7.098,-0.349475,0.4725,20.17,6.79060777717317,-1.77817972658963,-0.00269384533853679,0.99993395914561
1997-04-01,100.3967,3.67,5.32,5.53,6,6.42,6.58,6.74,6.87,6.9,7.21,7.09,-0.0312399462147219,0.0971872479576663,5.51,7.31272727272727,7.22636363636364,7.70409090909091,7.44545454545455,0.0186746912314331,6.7,7.21,7.47,7.91,0.000833685981659116,0.000935059220417367,0.000625782227784644,-0.00776135421240065,101.4,5.1,0.0666724228009916,0.537528355853635,-0.00235663786331497,2.21,5.216,5.249,2.254,6.274,5.731,6.573,2.698,6.715,1.178,6.959,-0.2166,0.437272727272727,19.6622727272727,7.09681337862427,-2.08215063912115,0.546244656774615,0.999950705261653
1997-05-01,100.5411,3.67,5.24,5.55,5.89,6.27,6.41,6.55,6.65,6.69,7.02,6.93,0.0733233055774785,0.177340159145529,5.5,7.13136363636364,7.03318181818182,7.515,7.26545454545455,0.0186746912314331,6.55,7.02,7.31,7.79,0.00568029329403852,0.000164856300258309,0,-0.00835795652879312,103.2,4.9,0.0632074088423245,-0.350314584261598,0.00314960629921268,2.21,4.934,4.976,2.254,6.216,5.038,6.508,2.698,6.663,1.178,6.908,-0.26444,0.434285714285714,19.9247619047619,6.93017682533215,-1.92182934227321,0.390673131189504,0.999950705261653
1997-06-01,100.6793,3.67,5.07,5.42,5.78,6.23,6.36,6.52,6.59,6.66,6.98,6.9,0.03410918905481,-0.0652787885389901,5.56,6.94047619047619,6.82666666666667,7.31285714285714,7.07047619047619,0.0186746912314331,6.38,6.82,7.09,7.6,0.00457823469211771,0.00622687813633194,0.00187617260787976,0.0147546591703478,104.5,5,0.0370643816523863,0.263095956064835,-0.00156985871271587,2.21,5.185,5.172,2.254,6.084,5.566,6.383,2.698,6.502,1.178,6.787,-0.19855,0.399047619047619,20.1942857142857,6.85894058687334,-2.15301434444451,0.735249216194503,0.999950705261653
1997-07-01,100.8002,3.67,5.18,5.31,5.64,6.02,6.19,6.33,6.42,6.45,6.8,6.74,0.0469960326336516,-0.0316938678402684,5.52,6.66681818181818,6.575,7.04363636363636,6.81545454545455,0.0169035048847699,6.16,6.56,6.81,7.32,0.00846064397128998,0.00993775253904117,0.00124843945068664,0.0114278734579212,107.1,4.9,0.0834662528279793,0.380863043363439,-0.00235849056603776,2.21,5.227,5.238,2.254,5.741,5.726,5.905,2.698,6.013,1.178,6.299,-0.2974,0.329545454545455,20.5290909090909,6.75966644846164,-1.8647405247102,0.167303952943438,0.999950705261653
1997-08-01,100.8871,3.67,5.28,5.4,5.52,5.89,5.99,6.08,6.17,6.2,6.52,6.46,0.0694849850697492,0.264959537273709,5.54,6.74727272727273,6.65909090909091,7.11681818181818,6.89909090909091,0.0169035048847699,6.21,6.64,6.9,7.38,0.0100173956262424,0.00688437139561704,0.00249376558603487,0.00299979711517095,104.4,4.8,-0.0518031172073365,0.515410872448925,0.00236406619385332,2.21,5.2,5.225,2.254,5.976,6.098,6.228,2.698,6.339,1.178,6.608,-0.33232,0.35952380952381,23.0847619047619,6.27788480562708,-1.11398577761363,-0.0290510460288666,0.652082396417305
1997-09-01,100.9451,3.67,5.21,5.39,5.57,5.94,6.06,6.2,6.3,6.31,6.65,6.58,-0.0659280591492356,-0.123956921193771,5.54,6.65714285714286,6.57809523809524,7.05,6.82857142857143,0.0169035048847699,6.16,6.57,6.81,7.3,0.00924880237973968,0.00263110792912125,0.00248756218905455,0.00332795530618624,106,4.9,0.0442599300933266,-0.206009684310851,0.00235849056603765,2.21,5.073,5.105,2.254,5.783,5.921,5.992,2.698,6.103,1.178,6.398,-0.1823,0.326666666666667,23.812380952381,6.5782565249094,-1.5199706162338,-0.0472306662522629,0.99993395914561
